name,verbatim_name,location_name,lat,lon,place,date,usageKey,acceptedUsageKey,scientificName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,occurrenceID,basisOfRecord,occurrenceStatus,verbatimLocality,decimalLatitude,decimalLongitude
Equisetum arvense L.,Equisetum arvense L.,Antarctichamna,72.0185393852121,-23.0546141666577,date1,1930-08-11T00:00:00Z,7924597,NA,Equisetum arvense L.,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Equisetales,Equisetaceae,Equisetum,Equisetum arvense,6,7707728,7228684,954,3105,2687913,7924597,FALSE,Polypodiopsida,urn:vpferl:c4cc48d3e6b59c5e9f5ff0a6c0823662,HumanObservation,presence,Antarctichamna,72.0185393852121,-23.0546141666577
Equisetum arvense L.,Equisetum arvense L.,Kapp Petersen,72.4168450055533,-24.5718994042612,date1,1930-08-09T00:00:00Z,7924597,NA,Equisetum arvense L.,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Equisetales,Equisetaceae,Equisetum,Equisetum arvense,6,7707728,7228684,954,3105,2687913,7924597,FALSE,Polypodiopsida,urn:vpferl:9da6c705b4ea984295ae7413bfbb6a57,HumanObservation,presence,Kapp Petersen,72.4168450055533,-24.5718994042612
Equisetum arvense L.,Equisetum arvense L.,Holmvika,72.5078737819493,-24.0006877034132,date1,1929-08-11T00:00:00Z,7924597,NA,Equisetum arvense L.,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Equisetales,Equisetaceae,Equisetum,Equisetum arvense,6,7707728,7228684,954,3105,2687913,7924597,FALSE,Polypodiopsida,urn:vpferl:5fa0f99fcbca7ab861be83bd7c46e331,HumanObservation,presence,Holmvika,72.5078737819493,-24.0006877034132
Equisetum arvense L.,Equisetum arvense L.,Veganeset,72.8348822643402,-23.1666758557105,date1,1929-08-07T00:00:00Z,7924597,NA,Equisetum arvense L.,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Equisetales,Equisetaceae,Equisetum,Equisetum arvense,6,7707728,7228684,954,3105,2687913,7924597,FALSE,Polypodiopsida,urn:vpferl:a5699dd571119e21d0221af9390b0496,HumanObservation,presence,Veganeset,72.8348822643402,-23.1666758557105
Equisetum arvense L.,Equisetum arvense L.,Gasøya,72.7994532662258,-22.9244892461657,date1,1929-08-09T00:00:00Z,7924597,NA,Equisetum arvense L.,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Equisetales,Equisetaceae,Equisetum,Equisetum arvense,6,7707728,7228684,954,3105,2687913,7924597,FALSE,Polypodiopsida,urn:vpferl:490d31c13dd374d02684ecd9368aab48,HumanObservation,presence,Gasøya,72.7994532662258,-22.9244892461657
Equisetum arvense L.,Equisetum arvense L.,Husbukt,72.8476155925744,-22.9464860300615,date1,1929-08-08T00:00:00Z,7924597,NA,Equisetum arvense L.,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Equisetales,Equisetaceae,Equisetum,Equisetum arvense,6,7707728,7228684,954,3105,2687913,7924597,FALSE,Polypodiopsida,urn:vpferl:7059ab22e7e0682dfff598bb33aee761,HumanObservation,presence,Husbukt,72.8476155925744,-22.9464860300615
Equisetum arvense L.,Equisetum arvense L.,Husbukt,72.8476155925744,-22.9464860300615,date2,1929-08-09T00:00:00Z,7924597,NA,Equisetum arvense L.,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Equisetales,Equisetaceae,Equisetum,Equisetum arvense,6,7707728,7228684,954,3105,2687913,7924597,FALSE,Polypodiopsida,urn:vpferl:6be81befdcf392e59d331f050bd2d266,HumanObservation,presence,Husbukt,72.8476155925744,-22.9464860300615
Equisetum arvense L.,Equisetum arvense L.,Husbukt,72.8476155925744,-22.9464860300615,date3,1929-08-10T00:00:00Z,7924597,NA,Equisetum arvense L.,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Equisetales,Equisetaceae,Equisetum,Equisetum arvense,6,7707728,7228684,954,3105,2687913,7924597,FALSE,Polypodiopsida,urn:vpferl:267bc9d8716377d0d67cd74176b17170,HumanObservation,presence,Husbukt,72.8476155925744,-22.9464860300615
Equisetum arvense L.,Equisetum arvense L.,Husbukt,72.8476155925744,-22.9464860300615,date4,1930-08-15T00:00:00Z,7924597,NA,Equisetum arvense L.,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Equisetales,Equisetaceae,Equisetum,Equisetum arvense,6,7707728,7228684,954,3105,2687913,7924597,FALSE,Polypodiopsida,urn:vpferl:64fae1a6bf207409ceb16a1afba6c23c,HumanObservation,presence,Husbukt,72.8476155925744,-22.9464860300615
Equisetum arvense L.,Equisetum arvense L.,5 kilometres west of Husbukt,72.8616330771541,-23.0874352624784,date1,1930-08-16T00:00:00Z,7924597,NA,Equisetum arvense L.,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Equisetales,Equisetaceae,Equisetum,Equisetum arvense,6,7707728,7228684,954,3105,2687913,7924597,FALSE,Polypodiopsida,urn:vpferl:63dad651ed9108e3f7e43a4e30393042,HumanObservation,presence,5 kilometres west of Husbukt,72.8616330771541,-23.0874352624784
